Identifier,Remarks,Filter,default,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr,sv,tr,zh_Hans,zh_Hant
,custom new game menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_LEVEL,,,Which Level?,,,,Welches Level?,,,,,,,,,Quale Livello?,,,,,Który poziom?,,,,Какой уровень?,,,,,
WF_GAME,,,Which Game?,,,,Welches Spiel?,,,,,,,,,Quale Gioco?,,,,,Która gra?,,,,Какая игра?,,,,,
WF_GAME_DOOM1,,,DOOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_DOOM2,,,DOOM II,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_GAME_FDOOM,,,Final DOOM,,,,,,,,,,,,,,,,,,,,,,Финальный DOOM,,,,,
WF_CAMPAIGN,,,Which Campaign?,,,,Welche Kampagne?,,,,,,,,,Quale Campagna?,,,,,Która kampania?,,,,Какая кампания?,,,,,
WF_CAMPAIGN_DOOM1,,,The DOOM Trilogy,,,,Die DOOM Trilogie,,,,,,,,,Trilogia DOOM,,,,,Trylogia DOOM,,,,Оригинальная трилогия DOOM,,,,,
WF_CAMPAIGN_UDOOM,,,The Ultimate DOOM,,,,Das Ultimative DOOM,,,,,,,,,Ultimate DOOM,,,,,Ultimate DOOM,,,,Предельный DOOM,,,,,
WF_CAMPAIGN_MASTER,,,Master Levels,,,,,,,,,,,,,,,,,,Poziomy mistrzów,,,,Уровни мастеров,,,,,
WF_CAMPAIGN_ID1,,,Legacy of Rust,,,,Das rostige Vermächtnis,,,,,,,,,,,,,,Rdzawy los,,,,Наследие ржавчины,,,,,
WF_EPISODE_UDOOM_EP5,The Ultimate DOOM,,SIGIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_UDOOM_EP6,,,SIGIL II,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_EPISODE_DOOM2_EP1,Hell on Earth,,The Space Station,,,,Die Raumstation,,,,,,,,,La Stazione Spaziale,,,,,Stacja kosmiczna,,,,Космическая станция,,,,,
WF_EPISODE_DOOM2_EP2,,,The City,,,,Die Stadt,,,,,,,,,La Città,,,,,Miasto,,,,Город,,,,,
WF_EPISODE_DOOM2_EP3,,,Hell,,,,Hölle,,,,,,,,,L'Inferno,,,,,Piekło,,,,Ад,,,,,
WF_EPISODE_MASTER_EP1,Master Levels,,Tim Willits,,,,,,,,,,,,,,,,,,,,,,Тим Уиллитс,,,,,
WF_EPISODE_MASTER_EP2,,,Christen Klie,,,,,,,,,,,,,,,,,,,,,,Кристен Кли,,,,,
WF_EPISODE_MASTER_EP3,,,Tom Mustaine,,,,,,,,,,,,,,,,,,,,,,Том Мастейн,,,,,
WF_EPISODE_MASTER_EP4,,,Jim Flynn's Titan,,,,,,,,,,,,,Jim Flynn: Titan,,,,,Tytan Jima Flynna,,,,Титан Джима Флинна,,,,,
WF_EPISODE_MASTER_EP5,,,John Anderson's INFERNO,,,,,,,,,,,,,John Anderson: INFERNO,,,,,INFERNO Johna Andersona,,,,Песни Ада Джона Андерсона,,,,,
WF_EPISODE_MASTER_EP6,,,Sverre Kvernmo's CABAL,,,,,,,,,,,,,Sverre Kvernmo: CABAL,,,,,CABAL Sverrego Kvernmo,,,,КЛИКА Сверре Квернмо,,,,,
WF_EPISODE_TNT_EP1,TNT: Evilution,,Io Base,,,,Io Basis,,,,,,,,,La Base di Io,,,,,Baza na Io,,,,База Ио,,,,,
WF_EPISODE_TNT_EP2,,,Nighttime Io,,,,Io bei Nacht,,,,,,,,,Notte su Io,,,,,Io w nocy,,,,Вечерний Ио,,,,,
WF_EPISODE_TNT_EP3,,,Hell on Io,,,,Hölle auf Io,,,,,,,,,Io Infernale,,,,,Piekło na Io,,,,Ад на Ио,,,,,
WF_EPISODE_PLU_EP1,The Plutonia Experiment,,Earth,,,,Erde,,,,,,,,,Terra,,,,,Ziemia,,,,Земля,,,,,
WF_EPISODE_PLU_EP2,,,Hell,,,,Hölle,,,,,,,,,L'Esperimento Demoniaco,,,,,Piekło,,,,Ад,,,,,
WF_EPISODE_PLU_EP3,,,Devil Hive,,,,Nest des Teufels,,,,,,,,,Il Nido del Diavolo,,,,,Siedlisko demonów,,,,Дьявольский улей,,,,,
WF_EPISODE_ID1_EP1,Legacy of Rust,,The Vulcan Abyss,,,,Der vulkanische Abgrund,,,,,,,,,L'Abisso Vulcanico,,,,,Wulkaniczna otchłań,,,,Вулканская бездна,,,,,
WF_EPISODE_ID1_EP2,,,Counterfeit Eden,,,,Falsches Paradies,,,,,,,,,L'Eden Contraffatto,,,,,Podrobiony Eden,,,,Поддельный Эдем,,,,,
WF_SKILL_CARNAGE,Cabal episode special skill,,Total carnage.,,,,Totales Gemetzel,,,,,,,,,Carneficina,,,,,Totalna rzeź.,,,,Настоящая бойня.,,,,,
,options menu text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WF_MENU_TITLE,,,WadFusion Options,,,,WadFusion Optionen,,,,,,,,,Opzioni WadFusion,,,,,Opcje WadFusion,,,,Настройки WadFusion,,,,,
